"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment"
"143",527.333333333333,49.4985970620493,"12_8",12,"Day12-Plate1 Algae-Bacteria Growth Experiment","3/28/2018 13:08",485,156.632,32.273,381,110.661,29.011,"8"
"144",527.333333333333,49.4985970620493,"12_8",12,"Day12-Plate3 Algae-Bacteria Growth Experiment","3/28/2018 13:28",626,237.733,38.003,604,220.799,36.576,"8"
"145",527.333333333333,49.4985970620493,"12_8",12,"Day12-Plate4 Algae-Bacteria Growth Experiment","3/28/2018 13:38",471,261.53,55.513,470,266.84,56.774,"8"
"146",622,36.0439546479943,"13_10",13,"Day13-Plate1 Algae-Bacteria Growth Experiment","3/29/2018 13:03",679,305.882,45.019,616,282.769,45.871,"10"
"147",622,36.0439546479943,"13_10",13,"Day13-Plate3 Algae-Bacteria Growth Experiment","3/29/2018 13:22",686,265.564,38.693,670,251.072,37.455,"10"
"148",622,36.0439546479943,"13_10",13,"Day13-Plate4 Algae-Bacteria Growth Experiment","3/29/2018 13:31",540,277.755,51.426,523,258.992,49.542,"10"
"149",622,36.0439546479943,"13_10",13,"Day13-Plate4 Algae-Bacteria Growth Experiment","3/29/2018 13:31",583,345.906,59.287,579,345.34,59.621,"10"
"150",584.5,20.5,"13_13",13,"Day13-Plate2 Algae-Bacteria Growth Experiment","3/29/2018 13:13",564,246.682,43.764,544,239.611,44.019,"13"
"151",584.5,20.5,"13_13",13,"Day13-Plate3 Algae-Bacteria Growth Experiment","3/29/2018 13:22",605,256.875,42.427,583,261.815,44.908,"13"
"152",521.333333333333,18.773503787105,"13_14",13,"Day13-Plate2 Algae-Bacteria Growth Experiment","3/29/2018 13:13",528,192.139,36.382,514,193.78,37.692,"14"
"153",521.333333333333,18.773503787105,"13_14",13,"Day13-Plate3 Algae-Bacteria Growth Experiment","3/29/2018 13:22",550,233.628,42.495,556,229.423,41.263,"14"
